input,normalized,detected_label,detected_category,method,score,gt_label,gt_category,correct_label,correct_category
myheart,heart,heart,body,direct,1.0,heart,body,1,1
my hip,my hip,hip,body,direct,1.0,hip,body,1,1
my hi,my hi,hi,wishes,direct,1.0,hip,body,0,0
my ihp,my ihp,hip,body,fuzzy,0.8333333333333334,hip,body,1,1
my knee,my knee,knee,body,direct,1.0,knee,body,1,1
myknee,knee,knee,body,direct,1.0,knee,body,1,1
my knee,my knee,knee,body,direct,1.0,knee,body,1,1
my legs,my legs,legs,body,direct,1.0,legs,body,1,1
my leg,my leg,legs,body,fuzzy,0.9230769230769231,legs,body,1,1
my lgs,my legs,legs,body,direct,1.0,legs,body,1,1
my mouth,my mouth,mouth,body,direct,1.0,mouth,body,1,1
my mouth,my mouth,mouth,body,direct,1.0,mouth,body,1,1
my omuth,my mouth,mouth,body,direct,1.0,mouth,body,1,1
my neck,my neck,neck,body,direct,1.0,neck,body,1,1
my enck,my neck,neck,body,direct,1.0,neck,body,1,1
my nck,my neck,neck,body,direct,1.0,neck,body,1,1
my nose,my nose,nose,body,tfidf,1.0000000000000002,nose,body,1,1
my onse,my zone,knee,body,fuzzy,0.7142857142857143,nose,body,0,1
m nose,m nose,nose,body,direct,1.0,nose,body,1,1
it is black,it is black,black,color,tfidf,1.0000000000000002,black,color,1,1
it is blck,it is black,black,color,tfidf,1.0000000000000002,black,color,1,1
i is black,i is black,black,color,direct,1.0,black,color,1,1
it is blue,it is blue,blue,color,tfidf,1.0000000000000002,blue,color,1,1
it s blue,it s blue,blue,color,direct,1.0,blue,color,1,1
this is brown,this is brown,brown,color,tfidf,1.0000000000000002,brown,color,1,1
this s brown,this s brown,brown,color,direct,1.0,brown,color,1,1
this is brow,this is brown,brown,color,tfidf,1.0000000000000002,brown,color,1,1
beautiful colors,beautiful colors,colors,color,tfidf,1.0000000000000002,colors,color,1,1
beautifu colors,beautiful colors,colors,color,tfidf,1.0000000000000002,colors,color,1,1
btfl colors,btfl colors,colors,color,direct,1.0,colors,color,1,1
its gray,its gray,gray,color,tfidf,1.0000000000000002,gray,color,1,1
ist gray,it gray,gray,color,direct,1.0,gray,color,1,1
its gra,its gray,gray,color,tfidf,1.0000000000000002,gray,color,1,1
its green,its green,green,color,direct,1.0,green,color,1,1
itsgreen,green,green,color,direct,1.0,green,color,1,1
it green,it green,green,color,direct,1.0,green,color,1,1
its pink,its pink,pink,color,tfidf,1.0000000000000002,pink,color,1,1
itspink,itspink,pink,color,fuzzy,0.9333333333333333,pink,color,1,1
ts pink,its pink,pink,color,tfidf,1.0000000000000002,pink,color,1,1
its purple,its purple,purple,color,tfidf,1.0000000000000002,purple,color,1,1
itspurple,purple,purple,color,direct,1.0,purple,color,1,1
its red,its red,red,color,direct,1.0,red,color,1,1
its rd,its red,red,color,direct,1.0,red,color,1,1
itsred,itsred,red,color,fuzzy,0.9230769230769231,red,color,1,1
its silver,its silver,silver,color,tfidf,1.0000000000000002,silver,color,1,1
it silver,it silver,silver,color,direct,1.0,silver,color,1,1
i want bournvita,i want bournvita,bournvita,drinks,direct,1.0,bournvita,drinks,1,1
i want bourvnita,i want bournvita,bournvita,drinks,direct,1.0,bournvita,drinks,1,1
i want bournvit,i want bournvita,bournvita,drinks,direct,1.0,bournvita,drinks,1,1
i want coca-cola,i want coca-cola,coca-cola,drinks,tfidf,1.0000000000000002,coca-cola,drinks,1,1
i wantcoca-cola,i coca-cola,coca-cola,drinks,direct,1.0,coca-cola,drinks,1,1
i want coffee,i want coffee,coffee,drinks,direct,1.0,coffee,drinks,1,1
 want coffee,want coffee,coffee,drinks,direct,1.0,coffee,drinks,1,1
i wan coffee,i want coffee,coffee,drinks,direct,1.0,coffee,drinks,1,1
i want cold coffee,i want cold coffee,coffee,drinks,direct,1.0,cold coffee,drinks,0,1
i wnt cold coffee,i want cold coffee,coffee,drinks,direct,1.0,cold coffee,drinks,0,1
i want coldcoffee,i want cold coffee,coffee,drinks,direct,1.0,cold coffee,drinks,0,1
i need cold drinks,i need cold drinks,cold drinks,drinks,direct,1.0,cold drinks,drinks,1,1
ineed cold drinks,need cold drinks,cold drinks,drinks,direct,1.0,cold drinks,drinks,1,1
i ened cold drinks,i need cold drinks,cold drinks,drinks,direct,1.0,cold drinks,drinks,1,1
give me something to drink,give me something to drink,drinks,drinks,fuzzy,1.0,drinks,drinks,1,1
giveme something to drink,give something to drink,drinks,drinks,tfidf,0.962672524416055,drinks,drinks,1,1
give me osmething to drink,give me something to drink,drinks,drinks,fuzzy,1.0,drinks,drinks,1,1
give me energy drink,give me energy drink,energy drink,drinks,tfidf,1.0000000000000002,energy drink,drinks,1,1
give me nrgy drink,give me energy drink,energy drink,drinks,tfidf,1.0000000000000002,energy drink,drinks,1,1
gv me energy drink,gve me energy drink,energy drink,drinks,direct,1.0,energy drink,drinks,1,1
give me some fanta,give me some fanta,fanta,drinks,direct,1.0,fanta,drinks,1,1
give me som fanta,give me some fanta,fanta,drinks,direct,1.0,fanta,drinks,1,1
give me some fant,give me some fanta,fanta,drinks,direct,1.0,fanta,drinks,1,1
give me flavoured milk,give me flavoured milk,flavoured milk,drinks,direct,1.0,flavoured milk,drinks,1,1
give m flavoured milk,give m flavoured milk,flavoured milk,drinks,direct,1.0,flavoured milk,drinks,1,1
giveme flavoured milk,give flavoured milk,flavoured milk,drinks,direct,1.0,flavoured milk,drinks,1,1
i want ginger ale,i want ginger ale,ginger ale,drinks,tfidf,1.0000000000000002,ginger ale,drinks,1,1
i want ginger ale,i want ginger ale,ginger ale,drinks,tfidf,1.0000000000000002,ginger ale,drinks,1,1
i want gingerale,i want ginger ale,ginger ale,drinks,tfidf,1.0000000000000002,ginger ale,drinks,1,1
give me maaza,give me maaza,maaza,drinks,tfidf,1.0000000000000002,maaza,drinks,1,1
give memaaza,give maaza,maaza,drinks,direct,1.0,maaza,drinks,1,1
give me maaza,give me maaza,maaza,drinks,tfidf,1.0000000000000002,maaza,drinks,1,1
give me some milk,give me some milk,milk,drinks,direct,1.0,milk,drinks,1,1
giveme some milk,give some milk,milk,drinks,direct,1.0,milk,drinks,1,1
give m some milk,give m some milk,milk,drinks,direct,1.0,milk,drinks,1,1
give e milkshake,give e milkshake,milkshake,drinks,direct,1.0,milkshake,drinks,1,1
give  milkshake,give milkshake,milkshake,drinks,direct,1.0,milkshake,drinks,1,1
gv e milkshake,gve e milkshake,milkshake,drinks,direct,1.0,milkshake,drinks,1,1
i want miranda,i want miranda,mirinda,drinks,fuzzy,1.0,mirinda,drinks,1,1
 want miranda,want miranda,mirinda,drinks,tfidf,1.0,mirinda,drinks,1,1
i want mirand,i want miranda,mirinda,drinks,fuzzy,1.0,mirinda,drinks,1,1
buy me a mountain dew,buy me a mountain dew,mountain dew,drinks,tfidf,1.0000000000000004,mountain dew,drinks,1,1
buy me a mountain dew,buy me a mountain dew,mountain dew,drinks,tfidf,1.0000000000000004,mountain dew,drinks,1,1
byu me a mountain dew,byu me a mountain dew,mountain dew,drinks,direct,1.0,mountain dew,drinks,1,1
give me pepsi,give me pepsi,pepsi,drinks,tfidf,1.0000000000000002,pepsi,drinks,1,1
give me pps,give me pepsi,pepsi,drinks,tfidf,1.0000000000000002,pepsi,drinks,1,1
gv me pepsi,gve me pepsi,pepsi,drinks,direct,1.0,pepsi,drinks,1,1
make me a protien shake,make me a protien shake,protien shake,drinks,tfidf,1.0000000000000002,protien shake,drinks,1,1
make mea protien shake,make me protien shake,protien shake,drinks,tfidf,1.0000000000000002,protien shake,drinks,1,1
makeme a protien shake,make a protien shake,protien shake,drinks,direct,1.0,protien shake,drinks,1,1
i want smoothie,i want smoothie,smoothie,drinks,direct,1.0,smoothie,drinks,1,1
i want smotohie,i want smoothie,smoothie,drinks,direct,1.0,smoothie,drinks,1,1
i wnat smoothie,i what smoothie,smoothie,drinks,direct,1.0,smoothie,drinks,1,1
i want soda,i want soda,soda,drinks,direct,1.0,soda,drinks,1,1
i watn soda,i what soda,soda,drinks,direct,1.0,soda,drinks,1,1
i want sod,i want soda,soda,drinks,direct,1.0,soda,drinks,1,1
i want some soup,i want some soup,soup,drinks,tfidf,1.0000000000000002,soup,drinks,1,1
i want some soup,i want some soup,soup,drinks,tfidf,1.0000000000000002,soup,drinks,1,1
i want some sp,i want some sp,soup,drinks,fuzzy,0.9333333333333333,soup,drinks,1,1
i want strawberry milkshake,i want strawberry milkshake,milkshake,drinks,direct,1.0,strawberry milkshake,drinks,0,1
i want strawberrymilkshake,i want strawberry milkshake,milkshake,drinks,direct,1.0,strawberry milkshake,drinks,0,1
i am afraid,i am afraid,afraid,emotions,tfidf,1.0000000000000002,afraid,emotions,1,1
i am afraid,i am afraid,afraid,emotions,tfidf,1.0000000000000002,afraid,emotions,1,1
i m afraid,i m afraid,afraid,emotions,direct,1.0,afraid,emotions,1,1
i am amazed,i am amazed,amazed,emotions,tfidf,1.0000000000000002,amazed,emotions,1,1
i amamazed,i amazed,amazed,emotions,direct,1.0,amazed,emotions,1,1
i am angry,i am angry,angry,emotions,tfidf,1.0000000000000002,angry,emotions,1,1
i am angr,i am angry,angry,emotions,tfidf,1.0000000000000002,angry,emotions,1,1
i am angry,i am angry,angry,emotions,tfidf,1.0000000000000002,angry,emotions,1,1
i am feeling ashmed,i am feeling ashmed,ashamed,emotions,tfidf,1.0000000000000002,ashamed,emotions,1,1
i am feeling ashme,i am feeling ashmed,ashamed,emotions,tfidf,1.0000000000000002,ashamed,emotions,1,1
i am feelingashmed,i am feelings,feelings,emotions,direct,1.0,ashamed,emotions,0,1
its awesome,its awesome,awesome!,emotions,tfidf,1.0000000000000002,awesome!,emotions,1,1
ist awesome,it awesome,awesome!,emotions,fuzzy,0.9523809523809523,awesome!,emotions,1,1
it awesome,it awesome,awesome!,emotions,fuzzy,0.9523809523809523,awesome!,emotions,1,1
i am bored,i am bored,bored,emotions,tfidf,1.0000000000000002,bored,emotions,1,1
i am bored,i am bored,bored,emotions,tfidf,1.0000000000000002,bored,emotions,1,1
iam bored,am bored,bored,emotions,tfidf,1.0000000000000002,bored,emotions,1,1
its too cold,its too cold,cold,emotions,tfidf,1.0000000000000002,cold,emotions,1,1
its to cold,its to cold,cold,emotions,direct,1.0,cold,emotions,1,1
its toocold,its toocold,cold,emotions,fuzzy,0.9565217391304348,cold,emotions,1,1
i am confused,i am confused,confused,emotions,tfidf,1.0000000000000002,confused,emotions,1,1
 am confused,am confused,confused,emotions,tfidf,1.0000000000000002,confused,emotions,1,1
i am confused,i am confused,confused,emotions,tfidf,1.0000000000000002,confused,emotions,1,1
i am in danger,i am in danger,danger,emotions,direct,1.0,danger,emotions,1,1
i am in dngr,i am in danger,danger,emotions,direct,1.0,danger,emotions,1,1
i am in danger,i am in danger,danger,emotions,direct,1.0,danger,emotions,1,1
i am disappointed,i am disappointed,disappointed,emotions,tfidf,1.0000000000000002,disappointed,emotions,1,1
i am disappointed,i am disappointed,disappointed,emotions,tfidf,1.0000000000000002,disappointed,emotions,1,1
 am disappointed,am disappointed,disappointed,emotions,tfidf,1.0000000000000002,disappointed,emotions,1,1
excuse me pls,excuse me pls,excuse me,emotions,direct,1.0,excuse me,emotions,1,1
excuse me pl,excuse me pls,excuse me,emotions,direct,1.0,excuse me,emotions,1,1
excuse mepls,excuse pls,excuse me,emotions,tfidf,0.949731514130602,excuse me,emotions,1,1
i am feeling cold,i am feeling cold,feeling cold,emotions,tfidf,1.0000000000000002,feeling cold,emotions,1,1
i am feeling cld,i am feeling cold,feeling cold,emotions,tfidf,1.0000000000000002,feeling cold,emotions,1,1
i am feelin cold,i am feeling cold,feeling cold,emotions,tfidf,1.0000000000000002,feeling cold,emotions,1,1
i am feeling warm,i am feeling warm,feeling warm,emotions,tfidf,1.0000000000000002,feeling warm,emotions,1,1
iam feeling warm,am feeling warm,feeling warm,emotions,tfidf,1.0000000000000002,feeling warm,emotions,1,1
i am feelin warm,i am feeling warm,feeling warm,emotions,tfidf,1.0000000000000002,feeling warm,emotions,1,1
i have feelings,i have feelings,feelings,emotions,tfidf,1.0000000000000002,feelings,emotions,1,1
i havefeelings,i feelings,feelings,emotions,direct,1.0,feelings,emotions,1,1
i hav feelings,i have feelings,feelings,emotions,tfidf,1.0000000000000002,feelings,emotions,1,1
its fun,its fun,fun,emotions,direct,1.0,fun,emotions,1,1
its fnu,its fnu,fun,emotions,fuzzy,0.8571428571428571,fun,emotions,1,1
this hurts,this hurts,hurt,emotions,fuzzy,1.0,hurt,emotions,1,1
thishurts,thishurts,hurt,emotions,fuzzy,0.9473684210526315,hurt,emotions,1,1
tihs hurts,this hurts,hurt,emotions,fuzzy,1.0,hurt,emotions,1,1
i am hurt,i am hurt,i am hurt,emotions,tfidf,1.0000000000000002,i am hurt,emotions,1,1
 am hurt,am hurt,i am hurt,emotions,tfidf,1.0000000000000002,i am hurt,emotions,1,1
i a hurt,i a hurt,hurt,emotions,direct,1.0,i am hurt,emotions,0,1
i am in pain,i am in pain,i am in pain,emotions,direct,1.0,i am in pain,emotions,1,1
i am in pn,i am in pen,pen,object,direct,1.0,i am in pain,emotions,0,0
i am in pain,i am in pain,i am in pain,emotions,direct,1.0,i am in pain,emotions,1,1
i am sorry,i am sorry,i am sorry,emotions,tfidf,1.0000000000000002,i am sorry,emotions,1,1
i am sorry,i am sorry,i am sorry,emotions,tfidf,1.0000000000000002,i am sorry,emotions,1,1
i don't understand,i don't understand,i don't understand,emotions,tfidf,1.0000000000000002,i don't understand,emotions,1,1
i don't understan,i don't understand,i don't understand,emotions,tfidf,1.0000000000000002,i don't understand,emotions,1,1
i dno't understand,i don't understand,i don't understand,emotions,tfidf,1.0000000000000002,i don't understand,emotions,1,1
i feel sick,i feel sick,i feel sick,emotions,tfidf,1.0000000000000002,i feel sick,emotions,1,1
i feel sic,i feel sick,i feel sick,emotions,tfidf,1.0000000000000002,i feel sick,emotions,1,1
i feelsick,i i feel sick,i feel sick,emotions,tfidf,1.0000000000000002,i feel sick,emotions,1,1
i feel tired,i feel tired,i feel tired,emotions,tfidf,1.0000000000000002,i feel tired,emotions,1,1
i fee tired,i feel tired,i feel tired,emotions,tfidf,1.0000000000000002,i feel tired,emotions,1,1
ifeel tired,feel tired,i feel tired,emotions,tfidf,1.0000000000000002,i feel tired,emotions,1,1
i need a break,i need a break,i need a break,emotions,direct,1.0,i need a break,emotions,1,1
i need a break,i need a break,i need a break,emotions,direct,1.0,i need a break,emotions,1,1
i need a berak,i need a break,i need a break,emotions,direct,1.0,i need a break,emotions,1,1
i need more time,i need more time,i need more time,emotions,tfidf,1.0000000000000002,i need more time,emotions,1,1
ineed more time,need more time,i need more time,emotions,tfidf,1.0000000000000002,i need more time,emotions,1,1
i need more time,i need more time,i need more time,emotions,tfidf,1.0000000000000002,i need more time,emotions,1,1
i want to be alone,i want to be alone,i want to be alone,emotions,tfidf,1.0000000000000002,i want to be alone,emotions,1,1
i want to be alon,i want to be alone,i want to be alone,emotions,tfidf,1.0000000000000002,i want to be alone,emotions,1,1
i want tobe alone,i want tobe alone,i want to be alone,emotions,fuzzy,0.9714285714285714,i want to be alone,emotions,1,1
i was hit,i was hit,i was hit,emotions,direct,1.0,i was hit,emotions,1,1
i washit,i wash,i was hit,emotions,fuzzy,0.8,i was hit,emotions,1,1
i was ht,i was hot,hot,action,direct,1.0,i was hit,emotions,0,0
i was made fun of,i was made fun of,fun,emotions,direct,1.0,i was made fun of,emotions,0,1
i was md fun of,i was md fun of,fun,emotions,direct,1.0,i was made fun of,emotions,0,1
i was made ufn of,i was made ufn of,i was made fun of,emotions,fuzzy,0.9411764705882353,i was made fun of,emotions,1,1
i was pinched,i was pinched,i was pinched,emotions,direct,1.0,i was pinched,emotions,1,1
i was pinched,i was pinched,i was pinched,emotions,direct,1.0,i was pinched,emotions,1,1
i wa pinched,i want pinched,i was pinched,emotions,fuzzy,0.8888888888888888,i was pinched,emotions,1,1
i was pushed,i was pushed,i was pushed,emotions,direct,1.0,i was pushed,emotions,1,1
i was pushe,i was pushed,i was pushed,emotions,direct,1.0,i was pushed,emotions,1,1
i was pushed,i was pushed,i was pushed,emotions,direct,1.0,i was pushed,emotions,1,1
i was scolded,i was scolded,i was scolded,emotions,direct,1.0,i was scolded,emotions,1,1
i was scolded,i was scolded,i was scolded,emotions,direct,1.0,i was scolded,emotions,1,1
i wasscolded,i i was scolded,i was scolded,emotions,direct,1.0,i was scolded,emotions,1,1
i was touched inappropriately,i was touched inappropriately,i was touched inappropriately,emotions,tfidf,1.0000000000000002,i was touched inappropriately,emotions,1,1
i was touched inappropriately,i was touched inappropriately,i was touched inappropriately,emotions,tfidf,1.0000000000000002,i was touched inappropriately,emotions,1,1
i wastouched inappropriately,i touched inappropriately,i was touched inappropriately,emotions,fuzzy,0.9259259259259259,i was touched inappropriately,emotions,1,1
its my birthday,its my birthday,my birthday,emotions,direct,1.0,my birthday,emotions,1,1
its mybirthday,its my birthday,my birthday,emotions,direct,1.0,my birthday,emotions,1,1
itsmy birthday,its birthday,my birthday,emotions,tfidf,0.9025739156113926,my birthday,emotions,1,1
quiet please,quiet please,quiet please!,emotions,tfidf,1.0000000000000002,quiet please!,emotions,1,1
qiuet please,quiet please,quiet please!,emotions,tfidf,1.0000000000000002,quiet please!,emotions,1,1
quiet pls,quiet pls,quiet please!,emotions,fuzzy,0.8571428571428571,quiet please!,emotions,1,1
it’s a rainy day,it’s a rainy day,rainy,emotions,direct,1.0,rainy,emotions,1,1
it’s a raiyn day,it’s a rainy day,rainy,emotions,direct,1.0,rainy,emotions,1,1
it’s a rainy dya,it’s a rainy dya,rainy,emotions,direct,1.0,rainy,emotions,1,1
i am sad,i am sad,sad,emotions,tfidf,1.0000000000000002,sad,emotions,1,1
i m sad,i m sad,sad,emotions,direct,1.0,sad,emotions,1,1
i a sad,i a sad,sad,emotions,direct,1.0,sad,emotions,1,1
be safety,be safety,safety,emotions,tfidf,1.0000000000000002,safety,emotions,1,1
besafety,safety,safety,emotions,direct,1.0,safety,emotions,1,1
b safety,b safety,safety,emotions,direct,1.0,safety,emotions,1,1
i want to sleep,i want to sleep,sleep,emotions,tfidf,1.0000000000000002,sleep,emotions,1,1
i want to slp,i want to sleep,sleep,emotions,tfidf,1.0000000000000002,sleep,emotions,1,1
i want t sleep,i want t sleep,sleep,emotions,direct,1.0,sleep,emotions,1,1
its a star,its a star,star,emotions,tfidf,1.0000000000000002,star,emotions,1,1
its astar,its star,star,emotions,tfidf,1.0000000000000002,star,emotions,1,1
itsa star,its star,star,emotions,tfidf,1.0000000000000002,star,emotions,1,1
i am stressed out,i am stressed out,stressed,emotions,direct,1.0,stressed,emotions,1,1
i am stressed ou,i am stressed you,stressed,emotions,direct,1.0,stressed,emotions,1,1
i am stressed out,i am stressed out,stressed,emotions,direct,1.0,stressed,emotions,1,1
"hello, aunty","hello, aunty",aunt,family,tfidf,1.0000000000000002,aunt,family,1,1
"hello, uanty","hello, aunty",aunt,family,tfidf,1.0000000000000002,aunt,family,1,1
"helol, aunty","hello, aunty",aunt,family,tfidf,1.0000000000000002,aunt,family,1,1
this is my brother,this is my brother,brother,family,direct,1.0,brother,family,1,1
thisis my brother,this my brother,brother,family,direct,1.0,brother,family,1,1
this is my brthr,this is my brother,brother,family,direct,1.0,brother,family,1,1
this is my caregiver,this is my caregiver,caregiver,family,direct,1.0,caregiver,family,1,1
thi is my caregiver,this is my caregiver,caregiver,family,direct,1.0,caregiver,family,1,1
this is my caregive,this is my caregiver,caregiver,family,direct,1.0,caregiver,family,1,1
this is my cousin,this is my cousin,cousin,family,direct,1.0,cousin,family,1,1
this is my cousin,this is my cousin,cousin,family,direct,1.0,cousin,family,1,1
this is my father,this is my father,father,family,direct,1.0,father,family,1,1
this is my father,this is my father,father,family,direct,1.0,father,family,1,1
this i my father,this i my father,father,family,direct,1.0,father,family,1,1
take me to friends house,take me to friends house,friends,family,direct,1.0,friend's house,family,0,1
take me tofriends house,take me friends house,friends,family,direct,1.0,friend's house,family,0,1
they are my friends,they are my friends,friends,family,direct,1.0,friends,family,1,1
they aremy friends,they are friends,friends,family,direct,1.0,friends,family,1,1
they are my friends,they are my friends,friends,family,direct,1.0,friends,family,1,1
take me to relatives house,take me to relatives house,relative's house,family,fuzzy,1.0,relative's house,family,1,1
take me to erlatives house,take me to relatives house,relative's house,family,fuzzy,1.0,relative's house,family,1,1
tk me to relatives house,tk me to relatives house,relative's house,family,fuzzy,0.96,relative's house,family,1,1
where is the baby,where is the baby,baby,family,tfidf,1.0000000000000002,baby,family,1,1
where is th baby,where is the baby,baby,family,tfidf,1.0000000000000002,baby,family,1,1
where is thebaby,where is thebaby,baby,family,fuzzy,0.9696969696969697,baby,family,1,1
this is my sister,this is my sister,sister,family,direct,1.0,sister,family,1,1
this is m sister,this is m sister,sister,family,direct,1.0,sister,family,1,1
this is my isster,this is my sister,sister,family,direct,1.0,sister,family,1,1
i want aaloo poori,i want aaloo poori,aaloo poori,food,tfidf,1.0000000000000002,aaloo poori,food,1,1
i want aaloo poroi,i want aaloo poori,aaloo poori,food,tfidf,1.0000000000000002,aaloo poori,food,1,1
i want aaolo poori,i want aaloo poori,aaloo poori,food,tfidf,1.0000000000000002,aaloo poori,food,1,1
i like barfi,i like barfi,barfi,food,tfidf,1.0000000000000002,barfi,food,1,1
i likebarfi,i likebarfi,barfi,food,fuzzy,0.9565217391304348,barfi,food,1,1
i want some beans on toast,i want some beans on toast,beans on toast,food,direct,1.0,beans on toast,food,1,1
i want some beans ontoast,i want some beans toast,beans on toast,food,fuzzy,0.9387755102040817,beans on toast,food,1,1
i want some beans n toast,i want some beans n toast,beans on toast,food,fuzzy,0.9803921568627451,beans on toast,food,1,1
i want bhakri,i want bhakri,bhakri,food,direct,1.0,bhakri,food,1,1
i want bhakr,i want bhakri,bhakri,food,direct,1.0,bhakri,food,1,1
i wan bhakri,i want bhakri,bhakri,food,direct,1.0,bhakri,food,1,1
give me some biscuit,give me some biscuit,biscuits,food,fuzzy,1.0,biscuits,food,1,1
give me somebiscuit,give me biscuit,biscuits,food,tfidf,0.9224647399948389,biscuits,food,1,1
give me some biscui,give me some biscuit,biscuits,food,fuzzy,1.0,biscuits,food,1,1
give me bread,give me bread,bread,food,tfidf,1.0000000000000002,bread,food,1,1
gv me bread,gve me bread,bread,food,direct,1.0,bread,food,1,1
give me braed,give me bread,bread,food,tfidf,1.0000000000000002,bread,food,1,1
i want breakfast,i want breakfast,breakfast,food,direct,1.0,breakfast,food,1,1
i awnt breakfast,i ant breakfast,ant,animals,direct,1.0,breakfast,food,0,0
iwant breakfast,want breakfast,breakfast,food,direct,1.0,breakfast,food,1,1
i want brownie,i want brownie,brownie,food,direct,1.0,brownie,food,1,1
i wantbrownie,i brownie,brownie,food,direct,1.0,brownie,food,1,1
i wnt brownie,i want brownie,brownie,food,direct,1.0,brownie,food,1,1
i want burger,i want burger,burger,food,direct,1.0,burger,food,1,1
i wan burger,i want burger,burger,food,direct,1.0,burger,food,1,1
i want burger,i want burger,burger,food,direct,1.0,burger,food,1,1
give me a cake slice,give me a cake slice,cake slice,food,tfidf,1.0000000000000002,cake slice,food,1,1
gv me a cake slice,gve me a cake slice,cake slice,food,direct,1.0,cake slice,food,1,1
give me acake slice,give me cake slice,cake slice,food,tfidf,1.0000000000000002,cake slice,food,1,1
i like cake,i like cake,cake,food,tfidf,1.0000000000000002,cake,food,1,1
i lik cake,i like cake,cake,food,tfidf,1.0000000000000002,cake,food,1,1
i like ck,i like ck,cake,food,fuzzy,0.9,cake,food,1,1
i love chaat,i love chaat,chaat,food,tfidf,1.0000000000000002,chaat,food,1,1
i love chaat,i love chaat,chaat,food,tfidf,1.0000000000000002,chaat,food,1,1
i lov chaat,i love chaat,chaat,food,tfidf,1.0000000000000002,chaat,food,1,1
i like cheese pudding,i like cheese pudding,cheese pudding,food,direct,1.0,cheese pudding,food,1,1
i like cheese pudding,i like cheese pudding,cheese pudding,food,direct,1.0,cheese pudding,food,1,1
 like cheese pudding,like cheese pudding,cheese pudding,food,direct,1.0,cheese pudding,food,1,1
i love cheese sticks,i love cheese sticks,cheese sticks,food,direct,1.0,cheese sticks,food,1,1
i lov cheese sticks,i love cheese sticks,cheese sticks,food,direct,1.0,cheese sticks,food,1,1
i love cheesesticks,i love cheese sticks,cheese sticks,food,direct,1.0,cheese sticks,food,1,1
i like cheese,i like cheese,cheese,food,direct,1.0,cheese,food,1,1
ilike cheese,like cheese,cheese,food,direct,1.0,cheese,food,1,1
i likecheese,i cheese,cheese,food,direct,1.0,cheese,food,1,1
i like chicken wings,i like chicken wings,chicken wings,food,direct,1.0,chicken wings,food,1,1
i lk chicken wings,i lk chicken wings,chicken wings,food,direct,1.0,chicken wings,food,1,1
i like chicke wings,i like chicken wings,chicken wings,food,direct,1.0,chicken wings,food,1,1
i love chicken,i love chicken,chicken,food,direct,1.0,chicken,food,1,1
i lov chicken,i love chicken,chicken,food,direct,1.0,chicken,food,1,1
i want chocolate cookie,i want chocolate cookie,chocolate cookies,food,tfidf,1.0000000000000002,chocolate cookies,food,1,1
i want chocolate cookie,i want chocolate cookie,chocolate cookies,food,tfidf,1.0000000000000002,chocolate cookies,food,1,1
give me some chocolates,give me some chocolates,chocolate,food,fuzzy,1.0,chocolate,food,1,1
give m some chocolates,give m some chocolates,chocolate,food,fuzzy,0.9777777777777777,chocolate,food,1,1
give me some chutney,give me some chutney,chutney,food,direct,1.0,chutney,food,1,1
give mesome chutney,give some chutney,chutney,food,direct,1.0,chutney,food,1,1
give me cookie,give me cookie,cookie,food,tfidf,1.0000000000000002,cookie,food,1,1
give mecookie,give cookie,cookie,food,direct,1.0,cookie,food,1,1
give m cookie,give m cookie,cookie,food,direct,1.0,cookie,food,1,1
give me cornflakes,give me cornflakes,cornflakes,food,tfidf,1.0000000000000002,cornflakes,food,1,1
giveme cornflakes,give cornflakes,cornflakes,food,direct,1.0,cornflakes,food,1,1
give me cornflake,give me cornflakes,cornflakes,food,tfidf,1.0000000000000002,cornflakes,food,1,1
i want croissant,i want croissant,croissant,food,direct,1.0,croissant,food,1,1
i watn croissant,i what croissant,croissant,food,direct,1.0,croissant,food,1,1
i wan croissant,i want croissant,croissant,food,direct,1.0,croissant,food,1,1
i want cuppa noodles,i want cuppa noodles,cuppa noodles,food,direct,1.0,cuppa noodles,food,1,1
i want cuppa noodles,i want cuppa noodles,cuppa noodles,food,direct,1.0,cuppa noodles,food,1,1
i want cpp noodles,i want cuppa noodles,cuppa noodles,food,direct,1.0,cuppa noodles,food,1,1
give me some curd,give me some curd,curd,food,direct,1.0,curd,food,1,1
give me some crd,give me some curd,curd,food,direct,1.0,curd,food,1,1
give me custard,give me custard,custard,food,tfidf,1.0000000000000002,custard,food,1,1
give m custard,give m custard,custard,food,direct,1.0,custard,food,1,1
give me custard,give me custard,custard,food,tfidf,1.0000000000000002,custard,food,1,1
i want dal khichidi,i want dal khichidi,dal,food,direct,1.0,dal khichdi,food,0,1
iwant dal khichidi,want dal khichidi,dal,food,direct,1.0,dal khichdi,food,0,1
i want da khichidi,i want day khichidi,day,wishes,direct,1.0,dal khichdi,food,0,0
i want dal,i want dal,dal,food,direct,1.0,dal,food,1,1
iwant dal,want dal,dal,food,direct,1.0,dal,food,1,1
i want da,i want day,day,wishes,direct,1.0,dal,food,0,0
i want donut,i want donut,donut,food,direct,1.0,donut,food,1,1
i want donu,i want donut,donut,food,direct,1.0,donut,food,1,1
i want dount,i want donut,donut,food,direct,1.0,donut,food,1,1
i want dosa,i want dosa,dosa,food,direct,1.0,dosa,food,1,1
iwant dosa,want dosa,dosa,food,direct,1.0,dosa,food,1,1
i want dosa,i want dosa,dosa,food,direct,1.0,dosa,food,1,1
