input,normalized,correct_label,time_context,location_context
give me cornflakes,give me cornflakes,cornflakes,midday,school
its to cold,its to cold,cold,midday,school
where i the baby,where i the baby,baby,midday,school
its a cck,its a cck,cuckoo,morning,home
i wnat to bathe,i what to bathe,bathing,morning,home
i lovecheese sticks,i cheese sticks,cheese sticks,evening,restaurant
there is the bus,there is the bus,bus,evening,restaurant
giv me a granola bar,give me a granola bar,granola bar,evening,restaurant
i see birds,i see birds,birds,morning,home
hw much is it,how much is it,how much,evening,restaurant
happychristmas,christmas,christmas,night,community
my heart,my heart,heart,evening,restaurant
i am thirsty,i am thirsty,water bottle,midday,school
i don't understand,i don't understand,i don't understand,evening,restaurant
i am amazed,i am amazed,amazed,midday,school
my clothes are tihgt,my clothes are tight,my clothes are tight,morning,home
i am hungry,i am hungry,snack,afternoon,hospital
i am thirsty,i am thirsty,soda,night,community
no spittign please,no spitting please,no spitting please,midday,school
ohw many,ohw many,how many,midday,school
give me somefanta,give me somefanta,fanta,midday,school
its a raiyn day,its a rainy day,rainy,afternoon,hospital
i am hungry,i am hungry,snack,afternoon,hospital
i feel cold,i feel cold,sweater,evening,restaurant
it is blu,it is blue,blue,afternoon,hospital
i want to sleep,i want to sleep,nap,afternoon,hospital
its a bffl,its a bffl,buffalo,morning,home
i feel pain,i feel pain,nurse,midday,school
switch on the air cndtnr,switch on the air cndtnr,air conditioner,evening,restaurant
there is a b,there is a b,bee,afternoon,hospital
i want some snac mix,i want some snack mix,snack mix,afternoon,hospital
i need medicine,i need medicine,tablet,morning,home
i want to sleep,i want to sleep,nap,midday,school
i wan apple,i want apple,apple,midday,school
giveme fruit punch,give fruit punch,fruit punch,afternoon,hospital
i want to wear socks,i want to wear socks,socks,afternoon,hospital
giv orange,give orange,orange,night,community
i want mango juice,i want mango juice,mango juice,evening,restaurant
i want food,i want food,lunch,midday,school
i wan a drink,i wan a drink,coca-cola,evening,restaurant
can you make me poache eggs,can you make me poached eggs,poached eggs,evening,restaurant
give orange,give orange,orange,evening,restaurant
iwant blueberry,want blueberry,blueberry,night,community
is this th standing line,is this the standing line,standing line,morning,home
i want to change myshoe,i want to change shoe,change shoes,night,community
i want pomegranate,i want pomegranate,pomegranate,midday,school
tk that book,tk that book,book,afternoon,hospital
i want osme rotti,i want some rotti,roti,midday,school
myneck,neck,neck,midday,school
make me a protien shake,make me a protien shake,protien shake,afternoon,hospital
i like popcorrn,i like popcorrn,popcorn,evening,restaurant
it is blu,it is blue,blue,midday,school
 want fried rice,want fried rice,fried rice,midday,school
its my body,its my body,body,afternoon,hospital
happy newyear,happy new year,new year,afternoon,hospital
i need medicin,i need medicin,tablet,morning,home
give m an eraser,give m an eraser,eraser,midday,school
give m pepsi,give m pepsi,pepsi,night,community
i want soda,i want soda,soda,afternoon,hospital
i wan to sleep,i wan to sleep,nap,afternoon,hospital
i want to eat,i want to eat,tiffin,evening,restaurant
tis awesome,this awesome,awesome!,night,community
i need medicine,i need medicine,tablet,midday,school
its adiamond,its diamond,diamond,morning,home
there i a monkey,there i a monkey,monkey,midday,school
i wan to eat,i wan to eat,tiffin,evening,restaurant
gd evening,gd evening,evening,evening,restaurant
can you bring mymedicine,can you bring medicine,medicine,afternoon,hospital
i want fud,i want fud,tiffin,evening,restaurant
take me to food court,take me to food court,food court,night,community
take my drawing book,take my drawing book,drawing book,night,community
can you make a sandwich for me,can you make a sandwich for me,sandwich,morning,home
can you bring my medicine,can you bring my medicine,medicine,midday,school
i want a drink,i want a drink,juice,midday,school
i feel cold,i feel cold,sweater,evening,restaurant
open the door,open the door,door,morning,home
i want to eat,i want to eat,breakfast,morning,home
i love mnago,i love mango,mango,night,community
it is 50 rupees,it is 50 rupees,inr 50,midday,school
omelette pls,omelette pls,omelette,evening,restaurant
i am hungry,i am hungry,snack,afternoon,hospital
good drama,good drama,drama,morning,home
i want to eat,i want to eat,dinner,night,community
is this the standing line,is this the standing line,standing line,morning,home
i wantsome laddoo,i wantsome laddoo,laddoo,evening,restaurant
iwant soda,want soda,soda,night,community
i wan stapler,i want stapler,stapler,afternoon,hospital
happy newyear,happy new year,new year,midday,school
i amangry,i angry,angry,morning,home
take the bat andball,take the bat handball,bat and ball,night,community
i am thirsty,i am thirsty,soda,night,community
i wan to sleep,i wan to sleep,nap,morning,home
i feel isck,i feel sick,i feel sick,midday,school
i liek cake,i line cake,cake,night,community
gv me paint,gve me paint,paint,night,community
take me to gymnastics,take me to gymnastics,gymnastics,afternoon,hospital
i want food,i want food,snack,afternoon,hospital
come lets dance,come lets dance,lets dance,night,community
i want to sleep,i want to sleep,rest,evening,restaurant
i want to eat,i want to eat,snack,afternoon,hospital
i am hungry,i am hungry,tiffin,evening,restaurant
i wan to eat,i wan to eat,breakfast,morning,home
add some maple syrup,add some maple syrup,maple syrup,midday,school
i like chicken wings,i like chicken wings,chicken wings,morning,home
its a rbbt,its a rabbit,rabbit,afternoon,hospital
its the kangaroo,its the kangaroo,kangaroo,evening,restaurant
i want apple,i want apple,apple,evening,restaurant
i wan to sleep,i wan to sleep,rest,evening,restaurant
i want a drink,i want a drink,water,morning,home
hppy dussehra,happy dussehra,dussehra,night,community
i want to sleep,i want to sleep,nap,midday,school
i wan a drink,i wan a drink,juice,midday,school
i amin danger,i pain danger,danger,afternoon,hospital
i want some laddoo,i want some laddoo,laddoo,afternoon,hospital
its mybirthday,its my birthday,my birthday,morning,home
i like towatch rollerskating,i like watch rollerskating,rollerskating,evening,restaurant
i want osme soup,i want some soup,soup,midday,school
i like strawberry,i like strawberry,strawberry,evening,restaurant
i want to change my innerwear,i want to change my innerwear,change innerwear,afternoon,hospital
my ahnds,my hands,hands,night,community
i need medicine,i need medicine,tablet,midday,school
i want some beans o toast,i want some beans o toast,beans on toast,midday,school
come lets dance,come lets dance,lets dance,morning,home
i want to chnage my shoe,i want to change my shoe,change shoes,night,community
i want to see my schl,i want to see my school,school,midday,school
i want to go to bed,i want to go to bed,bed,afternoon,hospital
i like to play chess,i like to play chess,chess,morning,home
add some chilli flake,add some chilli flakes,chilli flakes,night,community
its very hazards,its very hazards,hazards,evening,restaurant
i want sheera,i want sheera,sheera,night,community
i wan to eat,i wan to eat,breakfast,morning,home
i want to play with friend,i want to play with friend,play with friend,midday,school
no hands in underpants,no hands in underpants,no hands in underpants,afternoon,hospital
i wantto change my innerwear,i want change my innerwear,change innerwear,morning,home
i want to wr belt,i want to wr belt,belt,midday,school
go back,go back,back,evening,restaurant
i want t play scrabble,i want t play scrabble,scrabble,midday,school
how do you d,how do you d,how do you do,night,community
thr is a mouse,there is a mouse,mouse,evening,restaurant
thi is my chappals,this is my chappals,chappals,night,community
i love rcqt sports,i love rcqt sports,racquet sports,morning,home
please slw down,please slow down,please slow down,morning,home
thereis the sheep,there's the sheep,sheep,afternoon,hospital
happy labour day,happy labour day,labour day,evening,restaurant
beautifu colors,beautiful colors,colors,afternoon,hospital
its in kitchen,its in kitchen,kitchen,morning,home
i wantto change my pants,i want change my pants,change pants,morning,home
no pickin nose please,no picking nose please,no picking nose please,night,community
iwant dal khichidi,want dal khichidi,dal khichdi,afternoon,hospital
i have a bed tim routine,i have a bed time routine,bed time routine,afternoon,hospital
i want food,i want food,dinner,night,community
make me banana milkshake,make me banana milkshake,banana milkshake,midday,school
i need medicine,i need medicine,syrup,evening,restaurant
i want hamburger,i want hamburger,hamburger,morning,home
i need some cihkoo,i need some chikoo,chikoo,afternoon,hospital
my anlke aches,my ankle aches,ankle,evening,restaurant
thereis a bee,there's a bee,bee,afternoon,hospital
i am bored,i am bored,bored,night,community
its adiamond,its diamond,diamond,midday,school
giv me some fruit,give me some fruit,fruit,night,community
i want mac and cheese,i want mac and cheese,mac and cheese,morning,home
i want fired rice,i want tired rice,fried rice,night,community
i want a drnk,i want a drnk,coca-cola,evening,restaurant
i want some beans o toast,i want some beans o toast,beans on toast,morning,home
i want to play seesasw,i want to play seesasw,see-saw,midday,school
i want to go to bed,i want to go to bed,bed,afternoon,hospital
its the peac,its the peach,peach,morning,home
my clothes are tight,my clothes are tight,my clothes are tight,midday,school
i see acrocodile,i see crocodile,crocodile,morning,home
this is my cousin,this is my cousin,cousin,night,community
my mouth,my mouth,mouth,midday,school
i want to eat,i want to eat,lunch,midday,school
give m some chocolates,give m some chocolates,chocolate,afternoon,hospital
i am hungry,i am hungry,snack,afternoon,hospital
i want hamburger,i want hamburger,hamburger,midday,school
i want food,i want food,lunch,midday,school
giveme fish and chips,give fish and chips,fish and chips,evening,restaurant
there is the mg,there is the mug,mug,midday,school
i want fud,i want fud,dinner,night,community
 like bracelet,like bracelet,bracelet,evening,restaurant
mosquito bite,mosquito bites,mosquito,night,community
i need a chalk,i need a chalk,chalk,night,community
i am strssd out,i am stressed out,stressed,evening,restaurant
i wantbhakri,i bhakri,bhakri,midday,school
give orange,give orange,orange,midday,school
i feel pain,i feel pain,clinic,night,community
can you make a sandwcih for me,can you make a sandwich for me,sandwich,midday,school
take m to the park,take m to the park,park,midday,school
thr's the penguin,there's the penguin,penguin,night,community
i am thirsty,i am thirsty,water bottle,midday,school
gv me cookie,gve me cookie,cookie,morning,home
i want a drink,i want a drink,water,morning,home
i feel pain,i feel pain,nurse,midday,school
gv me pepsi,gve me pepsi,pepsi,morning,home
give oraneg,give orange,orange,afternoon,hospital
i want food,i want food,tiffin,evening,restaurant
i feel cold,i feel cold,sweater,evening,restaurant
i want to change my footwear,i want to change my footwear,change footwear,midday,school
there is the gaot,there is the goat,goat,morning,home
its acube,its cube,cube,morning,home
i want to change theslacks,i want to change slacks,change slacks,midday,school
i wan food,i wan food,breakfast,morning,home
give mesome chutney,give some chutney,chutney,afternoon,hospital
atke that bowl,take that bowl,bowl,evening,restaurant
it?? a rabbit,its a rabbit,rabbit,night,community
switch on the fa,switch on the fan,fan,evening,restaurant
there s the hippopotamus,there s the hippopotamus,hippopotamus,afternoon,hospital
there is panda,there is panda,panda,midday,school
i want to eat,i want to eat,lunch,midday,school
i need medicine,i need medicine,syrup,evening,restaurant
rosogulla s so tasty,rosogulla s so tasty,rosogulla,evening,restaurant
itsspring time,spring time,spring,morning,home
where is the scissors,where is the scissors,scissors,afternoon,hospital
thr is kingfisher,there is kingfisher,kingfisher,midday,school
ilike guava,like guava,guava,night,community
i am hungry,i am hungry,tiffin,evening,restaurant
i want bournvita,i want bournvita,bournvita,night,community
i love bowling,i love bowling,bowling,morning,home
give oraneg,give orange,orange,midday,school
can you hepl me remove clothes,can you hepl me remove clothes,help remove clothes,morning,home
i want roast lamb,i want roast lamb,roast lamb,evening,restaurant
i am frd,i am fried,afraid,midday,school
its a raiyn day,its a rainy day,rainy,morning,home
itsa cat,its cat,cat,evening,restaurant
there is the goat,there is the goat,goat,night,community
h grandpa,h grandpa,grandfather,afternoon,hospital
i want to play csrabble,i want to play scrabble,scrabble,night,community
there is panda,there is panda,panda,night,community
gt the key,get the key,key,morning,home
give memaaza,give maaza,maaza,evening,restaurant
i want food,i want food,breakfast,morning,home
its so foggy,its so foggy,foggy,morning,home
it inside the fridge,it inside the fridge,fridge,midday,school
where is my pants,where is my pants,pants,evening,restaurant
myneck,neck,neck,morning,home
i want t play ipad games,i want t play ipad games,ipad games,evening,restaurant
i want to play seesasw,i want to play seesasw,see-saw,night,community
give me some chocolates,give me some chocolates,chocolate,midday,school
give me gajarhalw,give me gajarhalwa,gajarhalwa,night,community
i wan food,i wan food,lunch,midday,school
give soem ketchup,give some ketchup,ketchup,night,community
i amangry,i angry,angry,evening,restaurant
there is the pegion,there is the pegion,pigeon,midday,school
hppy dussehra,happy dussehra,dussehra,morning,home
my knee,my knee,knee,evening,restaurant
i want to sleep,i want to sleep,nap,morning,home
give me a spoon,give me a spoon,spoon,midday,school
i am hungry,i am hungry,dinner,night,community
i wan a drink,i wan a drink,water,afternoon,hospital
i want soda,i want soda,soda,morning,home
i wan to eat,i wan to eat,lunch,midday,school
i like popcrorn,i like popcorn,popcorn,night,community
taek my coat,take my coat,coat,evening,restaurant
i want osme soup,i want some soup,soup,evening,restaurant
"""gvie me water.""","""give me water.""",water,midday,school
i am sad,i am sad,sad,night,community
no kckng please,no kicking please,no kicking please,night,community
i like to watch rollerskating,i like to watch rollerskating,rollerskating,morning,home
i want to change my frock,i want to change my frock,change frock,night,community
i love gulab jmn,i love gulab jamun,gulab jamun,midday,school
its a cck,its a cck,cuckoo,afternoon,hospital
its in my cupbaord,its in my cupboard,cupboard,midday,school
take my dress,take my dress,dress,afternoon,hospital
give me maaza,give me maaza,maaza,night,community
add osme chilli,add some chilli,chilli,morning,home
i was puhsed,i was pushed,i was pushed,afternoon,hospital
give me salad,give me salad,fruit salad,morning,home
where is the scissors,where is the scissors,scissors,morning,home
take m dress,take m dress,dress,morning,home
i need mutton,i need mutton,mutton,night,community
its an wl,its an owl,owl,evening,restaurant
i wan to eat,i wan to eat,tiffin,evening,restaurant
there is the skun,there is the skunk,skunk,afternoon,hospital
give me apple juiec,give me apple juice,apple juice,midday,school
it inside the fridge,it inside the fridge,fridge,evening,restaurant
i watn to buy some stationary,i what to buy some stationary,stationery,night,community
i want todance,i want dance,dance,evening,restaurant
my hrt,my hurt,heart,morning,home
i want my jacket,i want my jacket,jacket,night,community
i want brownei,i want brownie,brownie,midday,school
i want to eat,i want to eat,tiffin,evening,restaurant
itsgreen,green,green,night,community
i want my gloves,i want my gloves,gloves,night,community
i want to eat,i want to eat,dinner,night,community
hello,hello,hello,night,community
omelette psl,omelette psl,omelette,evening,restaurant
i want a drnk,i want a drnk,soda,night,community
happy dussehra,happy dussehra,dussehra,night,community
i needsome sambhar,i needsome sambhar,sambhar,night,community
hellograndma,hellograndma,grandmother,morning,home
 want to eat with small bites,want to eat with small bites,eat with small bites,night,community
where s the baby,where s the baby,baby,morning,home
i need medicine,i need medicine,tablet,morning,home
its silver,its silver,silver,afternoon,hospital
i want a drnk,i want a drnk,soda,night,community
quiet please,quiet please,quiet please!,afternoon,hospital
please lsow down,please slow down,please slow down,night,community
sit in chr,sit in chair,chair,evening,restaurant
i need medicine,i need medicine,capsule,afternoon,hospital
 want soda,want soda,soda,midday,school
give me custard,give me custard,custard,night,community
i want my gloves,i want my gloves,gloves,night,community
whereis my spectacles,where my spectacles,spectacles,afternoon,hospital
help me with my shoes,help me with my shoes,shoes,midday,school
happy easte,happy easter,easter,morning,home
i want pnppl juice,i want pnppl juice,pineapple juice,afternoon,hospital
lets go to groceryshop,lets go to grocery shop,grocery shop,night,community
htere is the lamp,here is the lamp,lamp,midday,school
give some ketchup,give some ketchup,ketchup,morning,home
its in rectangle in shape,its in rectangle in shape,rectangle,morning,home
i want to sleap,i want to sleap,nap,afternoon,hospital
can weplay hide and seek,can play hide and seek,hide and seek,afternoon,hospital
how much is it,how much is it,how much,morning,home
i want bournvita,i want bournvita,bournvita,evening,restaurant
i am thirsty,i am thirsty,soda,night,community
i want to reques you,i want to request you,requests,night,community
i want to eat,i want to eat,tiffin,evening,restaurant
i want pav bhaji,i want pav bhaji,pav bhaji,morning,home
there is a monkey,there is a monkey,monkey,night,community
tak me to hospital,take me to hospital,hospital,night,community
take my coat,take my coat,coat,morning,home
i want a drnk,i want a drnk,soda,night,community
i wan a drink,i wan a drink,water,afternoon,hospital
i want to eat,i want to eat,dinner,night,community
i want food,i want food,snack,afternoon,hospital
give me fruit punch,give me fruit punch,fruit punch,afternoon,hospital
i feel pain,i feel pain,rest,morning,home
my ns,my ns,nose,afternoon,hospital
take me to bedroom,take me to bedroom,bedroom,morning,home
i feel isck,i feel sick,i feel sick,evening,restaurant
i don't understand,i don't understand,i don't understand,afternoon,hospital
use paper clip,use paper clip,paper clip,night,community
i feel pain,i feel pain,nurse,midday,school
i feel pain,i feel pain,sit,evening,restaurant
i liek barfi,i line barfi,barfi,evening,restaurant
i love racquet sports,i love racquet sports,racquet sports,morning,home
i want to sleep,i want to sleep,rest,evening,restaurant
i need medicin,i need medicin,capsule,afternoon,hospital
mk some porridge,mk some porridge,porridge,afternoon,hospital
st in chair,sit in chair,chair,afternoon,hospital
i want to sleap,i want to sleap,nap,afternoon,hospital
its the dolphin,its the dolphin,dolphin,midday,school
i like cake,i like cake,cake,morning,home
its a rainy day,its a rainy day,rainy,night,community
its a rabbit,its a rabbit,rabbit,evening,restaurant
i feel pain,i feel pain,doctor,afternoon,hospital
give me pen,give me pen,pen,afternoon,hospital
i want bhkr,i want bhakri,bhakri,morning,home
i want to eat,i want to eat,breakfast,morning,home
i lovekhichidi,i khichidi,khichdi,morning,home
i am hungry,i am hungry,breakfast,morning,home
shallwe go to an restaurant,shall go to an restaurant,restaurant,evening,restaurant
"""please giv me a dosa.""","""please give me a dosa.""",dosa,night,community
its a rbbt,its a rabbit,rabbit,midday,school
i likesoftball,i softball,softball,midday,school
make some porridge,make some porridge,porridge,night,community
make some prth,make some prth,paratha,midday,school
i want tochange my innerwear,i want change my innerwear,change innerwear,midday,school
i feel pain,i feel pain,clinic,night,community
i want pineapple,i want pineapple,pineapple,evening,restaurant
its snowy,its snowy,snowy,evening,restaurant
pu bandage,put bandage,bandage,midday,school
i wnt pomegranate,i want pomegranate,pomegranate,midday,school
its a crow,its a crow,crow,evening,restaurant
ohw many,ohw many,how many,evening,restaurant
give me som berries,give me some berries,berries,afternoon,hospital
i want a drink,i want a drink,juice,midday,school
i am hungry,i am hungry,breakfast,morning,home
i like kabaddi,i like kabaddi,kabaddi,evening,restaurant
i was pushe,i was pushed,i was pushed,night,community
hi-fiev,hi-five,hi-five,afternoon,hospital
i want a drink,i want a drink,water,morning,home
i want food,i want food,snack,afternoon,hospital
i want a drnk,i want a drnk,water,afternoon,hospital
i want to change my jean,i want to change my jeans,change jeans,midday,school
i want a raost pork,i want a roast pork,roast pork,midday,school
give me fork,give me fork,fork,midday,school
i am hungry,i am hungry,dinner,night,community
it is 20 rupee,it is 20 rupees,inr 20,afternoon,hospital
can you help m remove clothes,can you help m remove clothes,help remove clothes,evening,restaurant
i am hungry,i am hungry,breakfast,morning,home
i wan to sleep,i wan to sleep,nap,morning,home
i want to watch cricket,i want to watch cricket,cricket,night,community
i feel pain,i feel pain,rest,morning,home
its so foggy,its so foggy,foggy,afternoon,hospital
i want to eat,i want to eat,dinner,night,community
i want shampo,i want shampoo,shampoo,afternoon,hospital
there are some garbage in the bin,there are some garbage in the bin,garbage in the bin,afternoon,hospital
ilike soccer,like soccer,soccer,evening,restaurant
i want to change myt-shirt,i want to change t-shirt,change t-shirt,afternoon,hospital
take me to doctor,take me to doctor,doctor,evening,restaurant
what is the current time,what is the current time,current time,morning,home
i feel pain,i feel pain,nurse,midday,school
i wan to sleep,i wan to sleep,sleep,night,community
i am thirsty,i am thirsty,water,afternoon,hospital
please giv me,please give me,please give me,evening,restaurant
i want food,i want food,snack,afternoon,hospital
please,please,please,evening,restaurant
can you take me for hiking,can you take me for hiking,hiking,afternoon,hospital
give mesome figs,give some figs,figs,midday,school
whatis the current season,what the current season,current season,afternoon,hospital
i wan to sleep,i wan to sleep,nap,morning,home
i have anemergency,i have emergency,emergency,evening,restaurant
i need sanitary napkins,i need sanitary napkins,sanitary napkins,afternoon,hospital
menu pls,menu pls,menu,night,community
it is black,it is black,black,evening,restaurant
they are my friends,they are my friends,friends,midday,school
take me to food court,take me to food court,food court,night,community
give me custard,give me custard,custard,midday,school
add some maplesyrup,add some maple syrup,maple syrup,midday,school
where is th scale,where is the scale,scale,night,community
add mr sause,add mr sause,sauce,midday,school
i need medicin,i need medicin,capsule,afternoon,hospital
i want fud,i want fud,breakfast,morning,home
i am thirsty,i am thirsty,juice,evening,restaurant
can we go ice skating,can we go ice skating,iceskating,midday,school
what is the current time,what is the current time,current time,midday,school
happy birthday,happy birthday,brother's birthday,midday,school
hppy birthday,happy birthday,birthdays,midday,school
add somemustard,add mustard,mustard,evening,restaurant
take me tocanteen,take me canteen,canteen,midday,school
i wan food,i wan food,dinner,night,community
i need medicin,i need medicin,capsule,afternoon,hospital
i want some beans on toast,i want some beans on toast,beans on toast,afternoon,hospital
happy birthday,happy birthday,cousin's birthday,afternoon,hospital
i am hungry,i am hungry,dinner,night,community
i like strwbrry,i like strawberry,strawberry,midday,school
i want jackfruit,i want jackfruit,jackfruit,afternoon,hospital
i want to wea watch,i want to wear watch,watch,midday,school
my head,my head,head,morning,home
gvie me some curd,gve me some curd,curd,midday,school
i am hungry,i am hungry,tiffin,evening,restaurant
its the peach,its the peach,peach,afternoon,hospital
goo night,good night,good night,evening,restaurant
how lng,how long,how long,afternoon,hospital
thereis a dog,there's a dog,dog,evening,restaurant
i want jlaebi,i want jalebi,jalebi,morning,home
iwant some laddoo,want some laddoo,laddoo,morning,home
i lovebowling,i bowling,bowling,night,community
i want a drink,i want a drink,juice,midday,school
i want fud,i want fud,dinner,night,community
i wnt to change my frock,i want to change my frock,change frock,evening,restaurant
its in our livin room,its in our living room,living room,midday,school
there is the knife,there is the knife,knife,midday,school
i need medicine,i need medicine,tablet,morning,home
i like softball,i like softball,softball,evening,restaurant
use paper clip,use paper clip,paper clip,afternoon,hospital
i love gulab jmn,i love gulab jamun,gulab jamun,evening,restaurant
i want some laddoo,i want some laddoo,laddoo,morning,home
i feel pain,i feel pain,rest,morning,home
please tell me agai,please tell me again,please tell me again,morning,home
i am hungry,i am hungry,snack,afternoon,hospital
my lgs,my legs,legs,night,community
i wan to eat,i wan to eat,snack,afternoon,hospital
give mepepsi,give pepsi,pepsi,evening,restaurant
i want pnppl juice,i want pnppl juice,pineapple juice,morning,home
give  milkshake,give milkshake,milkshake,evening,restaurant
i need medicin,i need medicin,tablet,midday,school
taek my coat,take my coat,coat,afternoon,hospital
i want a drink,i want a drink,juice,midday,school
i want some rice,i want some rice,rice,morning,home
i want fish,i want fish,fish,morning,home
ilove bowling,love bowling,bowling,midday,school
what i the current time,what i the current time,current time,morning,home
i wan to sleep,i wan to sleep,nap,midday,school
i wan jalebi,i want jalebi,jalebi,morning,home
there is knigfisher,there is kingfisher,kingfisher,night,community
give me crnflks,give me cornflakes,cornflakes,afternoon,hospital
i want to eat,i want to eat,lunch,midday,school
i need medicine,i need medicine,syrup,evening,restaurant
i want food,i want food,tiffin,evening,restaurant
hpapy holi,happy holi,holi,afternoon,hospital
i am sa,i am sad,sad,morning,home
its  rabbit,its rabbit,rabbit,morning,home
i feel pain,i feel pain,doctor,afternoon,hospital
i wan hamburger,i want hamburger,hamburger,night,community
mak some paratha,make some paratha,paratha,afternoon,hospital
i want tosee nurse,i want see nurse,nurse,morning,home
i want a raost pork,i want a roast pork,roast pork,night,community
i need medicin,i need medicin,tablet,midday,school
i need cable,i need cable,cable,midday,school
i feel cold,i feel cold,blanket,morning,home
i want to change my leggins,i want to change my leggins,change leggings,night,community
i want to slide,i want to slide,slide,midday,school
i want a drnk,i want a drnk,coca-cola,evening,restaurant
give me eclairs,give me eclairs,eclairs,night,community
i want to sleep,i want to sleep,nap,afternoon,hospital
ther is the shark,there is the shark,shark,midday,school
 want hamburger,want hamburger,hamburger,afternoon,hospital
i watn to buy some stationary,i what to buy some stationary,stationery,midday,school
i am bore,i am bored,bored,evening,restaurant
take my drawnig book,take my drawing book,drawing book,midday,school
i am thirsty,i am thirsty,water,morning,home
ist in red light please stop,it in red light please stop,red light- wait,afternoon,hospital
ts purple,its purple,purple,afternoon,hospital
add some maplesyrup,add some maple syrup,maple syrup,morning,home
hlelo,hello,hello,midday,school
i have my mourningroutine,i have my morning routine,morning routine,morning,home
i want food,i want food,tiffin,evening,restaurant
my clothes are tihgt,my clothes are tight,my clothes are tight,evening,restaurant
give me apple juice,give me apple juice,apple juice,afternoon,hospital
i wan to sleep,i wan to sleep,sleep,night,community
i wan to sleep,i wan to sleep,sleep,night,community
there's the penguin,there's the penguin,penguin,midday,school
take the bat and ball,take the bat and ball,bat and ball,midday,school
take thatbowl,take thatbowl,bowl,afternoon,hospital
take me torelatives house,take me relatives house,relative's house,evening,restaurant
i want to sleap,i want to sleap,nap,midday,school
give m pepsi,give m pepsi,pepsi,midday,school
where is the scale,where is the scale,scale,morning,home
take me to canteen,take me to canteen,canteen,midday,school
iam disappointed,am disappointed,disappointed,evening,restaurant
happy birthday,happy birthday,friend's birthday,afternoon,hospital
happy independence day,happy independence day,independence day,night,community
grea job,great job,great job!!!,midday,school
is thisthe standing line,is thisthe standing line,standing line,evening,restaurant
i feel pain,i feel pain,rest,morning,home
i want rst chicken,i want roast chicken,roast chicken,afternoon,hospital
i want odnut,i want donut,donut,afternoon,hospital
i want cfofee,i want coffee,coffee,evening,restaurant
i wan to eat,i wan to eat,breakfast,morning,home
it is20 rupees,it is20 rupees,inr 20,morning,home
give some pickle,give some pickle,pickle,afternoon,hospital
give me pen,give me pen,pen,midday,school
i feel pain,i feel pain,doctor,afternoon,hospital
i was scolded,i was scolded,i was scolded,midday,school
i wan a drink,i wan a drink,juice,midday,school
i want oburnvita,i want bournvita,bournvita,morning,home
whatis the current season,what the current season,current season,evening,restaurant
i like strawberry,i like strawberry,strawberry,midday,school
i wan a drink,i wan a drink,juice,midday,school
i feel cold,i feel cold,sweater,evening,restaurant
how wasyour day,how wasyour day,how was your day,evening,restaurant
crumbel it,crumble it,crumble,midday,school
i want myscarf,i want scarf,scarf,night,community
there is a bee,there is a bee,bee,midday,school
add sm butter,add sm butter,butter,night,community
i wanthoney,i wanthoney,honey,night,community
its a rainyday,its a rainy,rainy,midday,school
whereis my spectacles,where my spectacles,spectacles,midday,school
give me bnn,give me bnn,banana,midday,school
there is the hippopotamus,there is the hippopotamus,hippopotamus,night,community
higrandpa,grandpa,grandfather,night,community
ahppy dussehra,happy dussehra,dussehra,morning,home
tkae me to gymnastics,take me to gymnastics,gymnastics,midday,school
how muchis it,how much it,how much,morning,home
its a sprrw,its a sparrow,sparrow,morning,home
gv me salad,gve me salad,fruit salad,evening,restaurant
i need medicin,i need medicin,capsule,afternoon,hospital
i need medicin,i need medicin,syrup,evening,restaurant
i am thirsty,i am thirsty,water bottle,midday,school
itis 100 rupees,its 100 rupees,inr 100,morning,home
this is my cousi,this is my cousin,cousin,afternoon,hospital
this is brow,this is brown,brown,midday,school
i want a drnk,i want a drnk,water,morning,home
its my sopa,its my stop,soap,evening,restaurant
i feel cold,i feel cold,sweater,evening,restaurant
takeme to bedroom,take to bedroom,bedroom,afternoon,hospital
i am frd,i am fried,afraid,evening,restaurant
igve me salad,gve me salad,fruit salad,midday,school
ts so hot,its so hot,hot,morning,home
i need some chikoo,i need some chikoo,chikoo,afternoon,hospital
get my necklace,get my necklace,necklace,midday,school
can you cmb my hair,can you comb my hair,comb hair,night,community
itstoo cold,itstoo cold,cold,morning,home
i need cable,i need cable,cable,night,community
i want to go snowboarding,i want to go snowboarding,snowboarding,night,community
no inappropriate touch please,no inappropriate touch please,no inappropriate touch please,evening,restaurant
thereis the hippopotamus,there's the hippopotamus,hippopotamus,midday,school
thereis the sheep,there's the sheep,sheep,midday,school
take thatbook,take thatbook,book,afternoon,hospital
i ilke bracelet,i milk bracelet,bracelet,night,community
quiet please,quiet please,quiet please!,midday,school
i feel pain,i feel pain,doctor,afternoon,hospital
i need help,i need help,i need help,morning,home
where is my pants,where is my pants,pants,midday,school
get me aglass,get me glass,glass,night,community
i want food,i want food,snack,afternoon,hospital
iwant blueberry,want blueberry,blueberry,midday,school
"""please give me a dosa.""","""please give me a dosa.""",kabab,evening,restaurant
i want food,i want food,lunch,midday,school
i am angry,i am angry,angry,afternoon,hospital
its a rainyday,its a rainy,rainy,morning,home
i wanthoney,i wanthoney,honey,evening,restaurant
i feel sick,i feel sick,i feel sick,evening,restaurant
quiet pls,quiet pls,quiet please!,midday,school
salsataste good,salsataste good,salsa,midday,school
i want ice cream,i want ice cream,icecream,midday,school
this ismy favorite book,this ismy favorite book,favorite book,night,community
